Run,Open (µs),Write (µs),Read (µs),Close (µs)
501,1551.400,157.000,15.300,224.400
502,765.200,444.200,30.900,224.300
503,624.600,273.300,27.200,226.700
504,943.900,549.700,31.800,230.800
505,581.800,371.700,162.900,248.000
506,1117.900,179.600,102.800,253.400
507,422.000,132.900,15.100,273.800
508,1559.800,295.300,15.000,114.700
509,502.300,230.500,130.400,167.300
510,1185.600,412.400,33.100,220.300
511,1359.900,297.100,30.100,234.800
512,1097.100,287.300,57.000,124.600
513,1144.000,269.700,37.100,229.000
514,1201.500,529.200,37.100,270.900
515,1181.100,425.600,28.800,234.200
516,1374.300,286.700,29.700,378.000
517,1258.200,406.000,28.200,248.500
518,476.500,252.100,18.300,219.400
519,1265.600,185.800,126.000,110.700
520,1206.700,587.100,32.600,271.600
521,791.600,295.300,18.600,143.600
522,1217.800,279.500,27.600,218.000
523,964.000,308.400,20.000,132.500
524,1968.200,253.500,29.200,220.000
525,1106.200,396.500,58.100,259.200
526,782.900,142.200,127.000,352.900
527,1044.700,421.100,16.500,131.900
528,430.600,124.500,13.500,94.200
529,496.600,122.600,166.500,335.000
530,982.200,133.700,14.600,114.200
531,1116.800,407.500,31.000,264.900
532,462.000,131.000,15.200,102.900
533,349.000,113.700,14.600,153.800
534,1243.200,319.900,32.100,577.500
535,1180.200,333.300,21.200,180.900
536,467.400,252.800,15.700,99.700
537,543.500,529.700,39.000,278.900
538,806.200,130.800,14.500,177.000
539,433.700,154.100,102.800,237.800
540,508.500,140.400,126.600,216.200
541,845.000,296.100,26.500,209.700
542,1225.900,282.300,17.000,207.800
543,1234.400,266.200,26.700,295.400
544,947.700,134.500,14.500,103.400
545,436.700,134.200,13.800,288.700
546,1135.300,139.400,13.400,102.500
547,733.200,164.300,15.900,108.100
548,799.100,276.200,123.800,236.500
549,923.600,155.600,13.400,103.700
550,1096.800,216.700,15.100,102.500
551,1303.200,154.400,14.600,155.600
552,454.600,247.500,96.600,368.000
553,974.700,140.800,15.300,107.600
554,1123.700,290.000,33.600,224.000
555,611.800,185.600,36.800,287.700
556,566.200,279.200,25.000,209.800
557,392.600,125.900,14.700,106.400
558,860.700,137.200,15.800,219.400
559,573.800,127.500,14.300,113.300
560,1294.600,243.600,28.100,197.400
561,1207.600,212.000,18.900,112.300
562,1320.000,262.000,26.600,215.600
563,1254.500,382.800,163.400,190.100
564,575.500,165.100,14.500,129.000
565,703.600,181.300,122.600,263.100
566,1255.000,140.500,15.600,127.600
567,630.200,128.700,97.700,251.800
568,459.600,117.300,14.200,107.600
569,808.500,225.500,15.000,105.900
570,1007.900,154.200,15.200,106.700
571,1124.400,167.700,14.600,113.300
572,409.700,121.400,13.100,93.900
573,1195.700,389.100,31.600,232.300
574,1238.000,385.700,28.700,233.400
575,1073.500,206.700,16.100,130.900
576,1140.300,133.500,13.400,102.400
577,1365.500,142.500,13.300,103.300
578,1299.100,589.500,35.800,231.200
579,868.200,150.200,13.600,106.600
580,733.200,266.500,28.300,362.700
581,1094.900,195.800,14.900,175.000
582,623.100,154.200,14.500,107.600
583,973.700,326.600,128.400,176.500
584,809.200,134.900,14.800,99.200
585,801.000,212.000,112.800,254.200
586,862.100,139.100,13.600,96.000
587,1023.400,132.900,109.400,221.900
588,623.900,307.700,139.500,150.400
589,487.600,145.600,15.100,133.200
590,649.200,139.500,123.200,258.600
591,842.300,506.400,28.200,215.100
592,714.000,282.000,84.400,337.400
593,606.600,152.100,14.800,105.800
594,989.200,169.500,14.500,106.000
595,443.300,346.100,27.200,197.600
596,470.500,111.900,14.800,105.700
597,1196.100,131.800,13.800,97.500
598,685.100,129.600,14.900,148.800
599,434.700,374.700,13.300,99.900
600,999.100,126.400,14.500,81.900
601,580.100,113.400,13.200,117.800
602,720.500,138.000,13.400,96.300
603,337.400,97.000,19.200,243.700
604,715.500,157.000,13.700,103.900
605,431.200,105.300,13.000,98.000
606,722.800,127.700,114.200,237.400
607,373.300,246.700,35.900,247.900
608,479.500,129.900,14.800,99.600
609,942.100,136.300,14.400,115.900
610,832.200,127.100,14.300,96.600
611,722.300,261.000,109.900,269.100
612,896.900,413.300,34.600,378.000
613,364.800,121.300,58.500,108.300
614,1297.300,115.600,13.200,225.900
615,719.700,117.300,13.100,96.100
616,1222.100,147.400,14.100,148.200
617,952.400,185.200,64.600,112.500
618,1290.700,127.900,15.700,94.900
619,417.800,212.400,13.400,95.100
620,712.900,142.900,13.400,165.900
621,497.100,124.500,15.600,119.600
622,428.600,106.000,13.600,290.200
623,1144.500,138.900,13.800,103.500
624,443.800,117.600,13.300,153.600
625,851.300,184.300,61.800,107.200
626,375.800,117.900,13.400,329.800
627,621.900,262.100,26.700,208.500
628,552.100,489.100,28.000,386.300
629,362.600,172.000,166.700,247.600
630,1404.400,203.600,174.100,138.500
631,1103.800,185.300,63.300,113.200
632,956.700,183.400,13.300,93.500
633,967.100,115.100,13.400,95.600
634,371.600,119.100,13.800,331.600
635,670.500,130.600,15.800,101.200
636,733.900,125.700,13.800,181.600
637,1252.800,238.500,60.100,104.900
638,1038.700,189.100,56.400,139.600
639,524.700,124.500,12.600,105.700
640,562.100,139.600,14.500,114.200
641,960.800,142.400,88.500,271.300
642,1114.000,136.900,14.200,111.400
643,682.300,101.600,64.600,103.500
644,687.700,472.800,28.700,221.700
645,706.800,120.400,14.100,368.800
646,569.500,125.000,14.100,210.200
647,781.700,374.400,61.700,115.900
648,673.300,132.500,14.700,102.900
649,457.100,129.000,13.800,151.500
650,1499.800,305.900,29.200,171.500
651,603.800,392.200,15.600,106.500
652,726.000,117.400,15.100,161.200
653,537.300,126.700,12.900,317.000
654,962.800,122.100,12.900,95.500
655,897.900,128.000,14.600,94.600
656,913.800,120.700,14.200,98.100
657,880.100,246.000,65.900,106.100
658,441.300,106.900,13.900,268.400
659,409.200,165.500,14.800,104.700
660,1009.600,211.900,14.700,104.500
661,436.700,116.100,14.200,326.300
662,524.000,120.400,14.500,88.800
663,1335.800,357.800,31.300,222.000
664,528.400,356.200,126.800,142.500
665,401.700,176.800,14.500,109.700
666,421.600,130.600,14.400,303.800
667,681.300,122.600,12.800,96.300
668,1209.600,132.400,14.300,240.900
669,423.400,124.900,13.800,243.300
670,1404.200,247.300,27.400,233.000
671,1154.300,531.100,210.600,128.900
672,369.400,223.500,128.800,100.800
673,715.100,220.000,38.200,95.500
674,926.300,554.100,18.400,144.000
675,679.500,126.900,13.900,74.100
676,594.400,154.000,13.500,100.600
677,755.800,317.800,81.000,335.300
678,1061.600,491.700,116.200,270.100
679,914.100,139.100,14.600,103.900
680,516.500,119.100,12.800,170.400
681,432.900,105.000,13.000,113.100
682,545.600,258.200,157.700,117.800
683,1087.800,143.700,14.600,99.200
684,1015.800,117.000,13.900,99.300
685,458.400,115.600,12.900,90.600
686,539.100,122.700,12.600,87.900
687,998.600,254.000,13.500,87.500
688,1023.700,138.300,14.100,110.400
689,932.000,119.600,13.300,99.400
690,703.700,357.900,28.400,255.400
691,658.300,133.700,13.900,182.500
692,509.800,126.800,14.100,101.500
693,421.800,116.500,13.200,100.500
694,574.500,194.900,14.600,106.900
695,1489.600,294.600,242.100,244.700
696,1271.900,128.900,15.000,101.100
697,898.000,251.200,117.800,113.500
698,723.600,137.600,15.800,157.700
699,554.800,255.500,167.600,105.700
700,1271.200,241.600,197.500,252.500
701,1295.300,313.500,34.100,250.400
702,476.500,538.200,72.900,225.100
703,457.600,130.700,154.700,292.300
704,1245.300,129.900,14.400,100.300
705,1135.000,136.500,13.800,134.600
706,645.500,112.900,13.500,93.000
707,1419.700,304.800,28.500,204.700
708,1213.400,328.000,118.700,110.900
709,522.800,146.100,14.100,107.900
710,1101.000,184.600,14.100,148.600
711,1295.600,170.000,128.700,104.800
712,691.700,117.000,12.700,303.200
713,1127.500,300.700,28.200,236.400
714,679.400,168.400,21.700,246.100
715,1312.000,132.500,14.700,103.500
716,619.800,214.300,16.400,109.900
717,590.500,174.100,12.400,98.600
718,592.700,414.100,14.100,94.600
719,362.000,115.100,14.500,73.400
720,1186.000,129.700,12.900,405.800
721,1264.100,133.100,13.400,300.700
722,527.000,118.700,122.000,129.600
723,887.100,139.100,14.700,306.900
724,457.800,203.200,215.700,243.400
